Order Number,Line Item,Order Date,Delivery Date,CustomerKey,StoreKey,ProductKey,Quantity,Currency Code,Gender,CustomerName,City,State,Country,Continent,Product Name,Brand,Category,Subcategory,Unit Cost USD,Unit Price USD,Revenue_USD,Cost_USD,Profit_USD
367005,3,02-01-2016 00:00,27-02-2021 00:00,758280,0,1674,8,EUR,Male,Adolfo Genovesi,Teglia,Genova,Italy,Europe,MGS Hand Games for students E400 Red,Tailspin Toys,Games and Toys,Boxed Games,3.56,6.99,55.92,28.48,27.44
367005,4,02-01-2016 00:00,27-02-2021 00:00,758280,0,2511,9,EUR,Male,Adolfo Genovesi,Teglia,Genova,Italy,Europe,Contoso Original K1m Li-Ion Standard Battery E170 Silver,Contoso,Cell phones,Cell phones Accessories,2.07,4.06,36.54,18.63,17.91
367005,5,02-01-2016 00:00,27-02-2021 00:00,758280,0,1720,2,EUR,Male,Adolfo Genovesi,Teglia,Genova,Italy,Europe,MGS Zoo Tycoon 2: African Adventure M280,Tailspin Toys,Games and Toys,Download Games,32.25,70.13,140.26,64.5,75.76
367005,6,02-01-2016 00:00,27-02-2021 00:00,758280,0,1597,7,EUR,Male,Adolfo Genovesi,Teglia,Genova,Italy,Europe,SV DVD External DVD Burner M200 Black,Southridge Video,"Music, Movies and Audio Books",Movie DVD,26.62,57.88,405.16,186.34,218.82
367005,7,02-01-2016 00:00,27-02-2021 00:00,758280,0,784,1,EUR,Male,Adolfo Genovesi,Teglia,Genova,Italy,Europe,Contoso Laptop Starter Bundle M200 White,Contoso,Computers,Computers Accessories,7.59,16.5,16.5,7.59,8.91
367006,1,02-01-2016 00:00,27-02-2021 00:00,693285,18,2445,3,EUR,Female,Solaine Lanoie,DZAOUDZI,Mayotte,France,Europe,Litware 80mm Dual Ball Bearing Case Fan E1001 Green,Litware,Home Appliances,Fans,2.54,4.99,14.97,7.62,7.35
367007,1,02-01-2016 00:00,25-02-2021 00:00,1730985,57,65,7,USD,Female,Ethel Wong,Brattleboro,Vermont,United States,North America,WWI 2GB Spy Video Recorder Pen M300 Purple,Wide World Importers,Audio,Recording Pen,83.24,181,1267,582.68,684.32
367007,2,02-01-2016 00:00,25-02-2021 00:00,1730985,57,1432,9,USD,Female,Ethel Wong,Brattleboro,Vermont,United States,North America,The Phone Company Touch Screen Phones Infrared M901 Grey,The Phone Company,Cell phones,Touch Screen Phones,137.96,300,2700,1241.64,1458.36
367008,1,02-01-2016 00:00,27-02-2021 00:00,763246,28,1951,3,EUR,Male,Remigio Romano,San Zenone Al Lambro,Milano,Italy,Europe,Litware Refrigerator 24.7CuFt X980 Silver,Litware,Home Appliances,Refrigerators,1060.22,3199.99,9599.97,3180.66,6419.31
367009,1,02-01-2016 00:00,25-02-2021 00:00,1512558,57,934,1,USD,Female,Kimberly Walden,West Roxbury,Massachusetts,United States,North America,SV 4GB Laptop Memory M65 Blue,Southridge Video,Computers,Computers Accessories,36.33,79,79,36.33,42.67
367009,2,02-01-2016 00:00,25-02-2021 00:00,1512558,57,930,8,USD,Female,Kimberly Walden,West Roxbury,Massachusetts,United States,North America,SV 512MB Laptop memory E800 Yellow,Southridge Video,Computers,Computers Accessories,17.33,33.99,271.92,138.64,133.28
367009,3,02-01-2016 00:00,25-02-2021 00:00,1512558,57,1436,5,USD,Female,Kimberly Walden,West Roxbury,Massachusetts,United States,North America,The Phone Company Touch Screen Phones 5-Wire/On-wall M508 Grey,The Phone Company,Cell phones,Touch Screen Phones,118.65,258,1290,593.25,696.75
367009,4,02-01-2016 00:00,25-02-2021 00:00,1512558,57,1547,3,USD,Female,Kimberly Walden,West Roxbury,Massachusetts,United States,North America,The Phone Company PDA Handheld 3.5 inch M610 Silver,The Phone Company,Cell phones,Smart phones & PDAs,117.27,255,765,351.81,413.19
367009,5,02-01-2016 00:00,25-02-2021 00:00,1512558,57,53,5,USD,Female,Kimberly Walden,West Roxbury,Massachusetts,United States,North America,WWI 4GB Video Recording Pen X200 Black,Wide World Importers,Audio,Recording Pen,98.07,296,1480,490.35,989.65
367010,1,02-01-2016 00:00,25-02-2021 00:00,1322959,66,917,1,USD,Male,Eric Williams,Big Piney,Wyoming,United States,North America,SV 500GB USB 2.0 Portable External Hard Drive X405 White,Southridge Video,Computers,Computers Accessories,59.31,179,179,59.31,119.69
367010,2,02-01-2016 00:00,25-02-2021 00:00,1322959,66,39,1,USD,Male,Eric Williams,Big Piney,Wyoming,United States,North America,Contoso 8GB Clock & Radio MP3 Player X850 Green,Contoso,Audio,MP4&MP3,99.14,299.23,299.23,99.14,200.09
367011,1,02-01-2016 00:00,27-02-2021 00:00,507981,22,39,1,EUR,Male,Eric Luft,Lappersdorf,Freistaat Bayern,Germany,Europe,Contoso 8GB Clock & Radio MP3 Player X850 Green,Contoso,Audio,MP4&MP3,99.14,299.23,299.23,99.14,200.09
367012,1,02-01-2016 00:00,26-02-2021 00:00,209990,9,1653,5,CAD,Male,Brandon Loyd,Norwich,Ontario,Canada,North America,Contoso DVD 7-Inch Player Portable E200 Silver,Contoso,"Music, Movies and Audio Books",Movie DVD,56.08,109.99,549.95,280.4,269.55
367012,2,02-01-2016 00:00,26-02-2021 00:00,209990,9,145,3,CAD,Male,Brandon Loyd,Norwich,Ontario,Canada,North America,"Adventure Works 52 LCD HDTV X590 Silver""",Adventure Works,TV and Video,Televisions,960.82,2899.99,8699.97,2882.46,5817.51
367013,1,02-01-2016 00:00,27-02-2021 00:00,815458,31,1733,2,EUR,Male,Libaan van Essen,Sassenheim,Zuid-Holland,Netherlands,Europe,MGS Halo: Combat Evolved E109,Tailspin Toys,Games and Toys,Download Games,11.62,22.79,45.58,23.24,22.34
367013,2,02-01-2016 00:00,27-02-2021 00:00,815458,31,41,6,EUR,Male,Libaan van Essen,Sassenheim,Zuid-Holland,Netherlands,Europe,Contoso 16GB New Generation MP5 Player M1650 Silver,Contoso,Audio,MP4&MP3,106.69,232,1392,640.14,751.86
367014,1,02-01-2016 00:00,25-02-2021 00:00,1839627,56,1184,3,USD,Male,William Falcon,Garfield Heights,Ohio,United States,North America,Fabrikam Business Videographer 1'' 25mm M600 White,Fabrikam,Cameras and camcorders,Camcorders,409.28,890,2670,1227.84,1442.16
367015,1,02-01-2016 00:00,24-02-2021 00:00,911025,42,2296,7,GBP,Female,Amber Jordan,SMELTHOUSES,Harrogate,United Kingdom,Europe,Proseware Chandelier M0815 Grey,Proseware,Home Appliances,Lamps,123.47,268.5,1879.5,864.29,1015.21
367016,1,02-01-2016 00:00,25-02-2021 00:00,1633409,63,1487,1,USD,Male,Paul Burt,Dearborn,Michigan,United States,North America,The Phone Company Smart phones Unlocked M300 Grey,The Phone Company,Cell phones,Smart phones & PDAs,122.78,267,267,122.78,144.22
367016,2,02-01-2016 00:00,25-02-2021 00:00,1633409,63,558,7,USD,Male,Paul Burt,Dearborn,Michigan,United States,North America,Proseware Screen 113in X1609 White,Proseware,Computers,Projectors & Screens,99.06,299,2093,693.42,1399.58
367016,3,02-01-2016 00:00,25-02-2021 00:00,1633409,63,206,3,USD,Male,Paul Burt,Dearborn,Michigan,United States,North America,Litware Home Theater System 5.1 Channel M515 Black,Litware,TV and Video,Home Theater System,261.66,569,1707,784.98,922.02
367017,1,02-01-2016 00:00,25-02-2021 00:00,1612400,47,1203,4,USD,Male,Jordon Munguia,Arlington Heights,Illinois,United States,North America,Fabrikam Trendsetter 2/3'' 17mm X100 Grey,Fabrikam,Cameras and camcorders,Camcorders,324.69,980,3920,1298.76,2621.24
367018,1,02-01-2016 00:00,25-02-2021 00:00,1301565,59,1245,2,USD,Male,Daniel Spencer,Los Angeles,California,United States,North America,Fabrikam Social Videographer 1/3'' 8.5mm E200 White,Fabrikam,Cameras and camcorders,Camcorders,85.65,168,336,171.3,164.7
367018,2,02-01-2016 00:00,25-02-2021 00:00,1301565,59,1973,4,USD,Male,Daniel Spencer,Los Angeles,California,United States,North America,Litware Refrigerator 3.2CuFt E160 Grey,Litware,Home Appliances,Refrigerators,142.75,279.99,1119.96,571,548.96
367018,3,02-01-2016 00:00,25-02-2021 00:00,1301565,59,731,4,USD,Male,Daniel Spencer,Los Angeles,California,United States,North America,Proseware Ink Jet Wireless All-In-One Printer M400 Green,Proseware,Computers,"Printers, Scanners & Fax",59.32,129,516,237.28,278.72
367019,1,02-01-2016 00:00,27-02-2021 00:00,793573,29,1947,2,EUR,Male,Paolo Li Fonti,Sant'Agata Mugello,Firenze,Italy,Europe,Litware Refrigerator 9.7CuFt M560 Brown,Litware,Home Appliances,Refrigerators,226.71,493,986,453.42,532.58
367019,2,02-01-2016 00:00,27-02-2021 00:00,793573,29,1645,7,EUR,Male,Paolo Li Fonti,Sant'Agata Mugello,Firenze,Italy,Europe,Contoso DVD External DVD Burner M200 Silver,Contoso,"Music, Movies and Audio Books",Movie DVD,26.62,57.88,405.16,186.34,218.82
367019,3,02-01-2016 00:00,27-02-2021 00:00,793573,29,371,7,EUR,Male,Paolo Li Fonti,Sant'Agata Mugello,Firenze,Italy,Europe,Adventure Works Laptop16 M1601 White,Adventure Works,Computers,Laptops,275.46,599,4193,1928.22,2264.78
367020,1,02-01-2016 00:00,27-02-2021 00:00,799366,29,448,6,EUR,Male,Berardo Onio,San Biagio In Padule,Modena,Italy,Europe,WWI Desktop PC1.80 E1801 Black,Wide World Importers,Computers,Desktops,137.6,269.9,1619.4,825.6,793.8
367020,2,02-01-2016 00:00,27-02-2021 00:00,799366,29,1975,1,EUR,Male,Berardo Onio,San Biagio In Padule,Modena,Italy,Europe,Litware Refrigerator L1200 Orange,Litware,Home Appliances,Refrigerators,1060.22,3199.99,3199.99,1060.22,2139.77
367021,1,02-01-2016 00:00,26-02-2021 00:00,243917,10,1445,4,CAD,Female,Summer Brown,Toronto,Ontario,Canada,North America,"The Phone Company Touch Screen Phones 26-1.4 M250 Gold""",The Phone Company,Cell phones,Touch Screen Phones,123.24,268,1072,492.96,579.04
367021,2,02-01-2016 00:00,26-02-2021 00:00,243917,10,1624,6,CAD,Female,Summer Brown,Toronto,Ontario,Canada,North America,Contoso DVD Recorder L220 White,Contoso,"Music, Movies and Audio Books",Movie DVD,72.56,219,1314,435.36,878.64
367021,3,02-01-2016 00:00,26-02-2021 00:00,243917,10,1615,2,CAD,Female,Summer Brown,Toronto,Ontario,Canada,North America,SV DVD 15-Inch Player Portable L200 White,Southridge Video,"Music, Movies and Audio Books",Movie DVD,96.08,289.99,579.98,192.16,387.82
367022,1,02-01-2016 00:00,24-02-2021 00:00,942807,42,1596,1,GBP,Male,Morgan Kennedy,WOODMANCOTE,Cotswold,United Kingdom,Europe,SV DVD 55DVD Storage Binder M56 Red,Southridge Video,"Music, Movies and Audio Books",Movie DVD,5.82,12.66,12.66,5.82,6.84
367022,2,02-01-2016 00:00,24-02-2021 00:00,942807,42,1253,7,GBP,Male,Morgan Kennedy,WOODMANCOTE,Cotswold,United Kingdom,Europe,Contoso General Carrying Case E304 Silver,Contoso,Cameras and camcorders,Cameras & Camcorders Accessories,10.19,19.99,139.93,71.33,68.6
367022,3,02-01-2016 00:00,24-02-2021 00:00,942807,42,663,3,GBP,Male,Morgan Kennedy,WOODMANCOTE,Cotswold,United Kingdom,Europe,Proseware High-Performance Business-Class Laser Fax X200 Black,Proseware,Computers,"Printers, Scanners & Fax",82.17,248,744,246.51,497.49
367022,4,02-01-2016 00:00,24-02-2021 00:00,942807,42,1194,6,GBP,Male,Morgan Kennedy,WOODMANCOTE,Cotswold,United Kingdom,Europe,Fabrikam Home and Vacation Moviemaker 1/3'' 8.5mm M200 Grey,Fabrikam,Cameras and camcorders,Camcorders,291.09,633,3798,1746.54,2051.46
367023,1,02-01-2016 00:00,20-02-2021 00:00,129318,2,1139,5,AUD,Female,Victoria Courtney,PINE VALLEY,New South Wales,Australia,Australia,"Fabrikam SLR Camera 35 M358 Orange""",Fabrikam,Cameras and camcorders,Digital SLR Cameras,150.84,328,1640,754.2,885.8
367023,2,02-01-2016 00:00,20-02-2021 00:00,129318,2,1031,2,AUD,Female,Victoria Courtney,PINE VALLEY,New South Wales,Australia,Australia,A. Datum Ultra Compact Digital Camera M190 Azure,A. Datum,Cameras and camcorders,Digital Cameras,75.88,165,330,151.76,178.24
367024,1,02-01-2016 00:00,25-02-2021 00:00,1713253,50,302,8,USD,Male,Tom David,Gainesville,Florida,United States,North America,SV Car Video LCD9.2W X9280 Black,Southridge Video,TV and Video,Car Video,330.99,999,7992,2647.92,5344.08
367024,2,02-01-2016 00:00,25-02-2021 00:00,1713253,50,2105,5,USD,Male,Tom David,Gainesville,Florida,United States,North America,Contoso Water Heater 7.2GPM X1800 Grey,Contoso,Home Appliances,Water Heaters,488.7,1475,7375,2443.5,4931.5
367025,1,02-01-2016 00:00,25-02-2021 00:00,1736623,56,1608,1,USD,Female,Ellen Jamison,Detroit,Michigan,United States,North America,SV DVD 7-Inch Player Portable E200 Silver,Southridge Video,"Music, Movies and Audio Books",Movie DVD,56.08,109.99,109.99,56.08,53.91
367025,2,02-01-2016 00:00,25-02-2021 00:00,1736623,56,1641,2,USD,Female,Ellen Jamison,Detroit,Michigan,United States,North America,Contoso DVD 55DVD Storage Binder M56 Red,Contoso,"Music, Movies and Audio Books",Movie DVD,5.82,12.66,25.32,11.64,13.68
367025,3,02-01-2016 00:00,25-02-2021 00:00,1736623,56,1574,3,USD,Female,Ellen Jamison,Detroit,Michigan,United States,North America,SV DVD Player M130 Grey,Southridge Video,"Music, Movies and Audio Books",Movie DVD,27.59,59.99,179.97,82.77,97.2
367026,1,02-01-2016 00:00,25-02-2021 00:00,1836599,53,2218,2,USD,Male,Jonathan Johnson,Miami,Florida,United States,North America,Adventure Works Wall Lamp E2150 Grey,Adventure Works,Home Appliances,Lamps,61.17,119.99,239.98,122.34,117.64
367026,2,02-01-2016 00:00,25-02-2021 00:00,1836599,53,78,1,USD,Male,Jonathan Johnson,Miami,Florida,United States,North America,NT Wireless Bluetooth Stereo Headphones E302 Silver,Northwind Traders,Audio,Bluetooth Headphones,18.65,40.55,40.55,18.65,21.9
367027,1,02-01-2016 00:00,25-02-2021 00:00,1482586,53,2451,3,USD,Female,Edna Gilmer,Cleburne,Texas,United States,North America,Litware Desktop Wind Tower Oscillating Fan E1201 Brown,Litware,Home Appliances,Fans,15.29,29.99,89.97,45.87,44.1
367027,2,02-01-2016 00:00,25-02-2021 00:00,1482586,53,1645,1,USD,Female,Edna Gilmer,Cleburne,Texas,United States,North America,Contoso DVD External DVD Burner M200 Silver,Contoso,"Music, Movies and Audio Books",Movie DVD,26.62,57.88,57.88,26.62,31.26
367027,3,02-01-2016 00:00,25-02-2021 00:00,1482586,53,1728,2,USD,Female,Edna Gilmer,Cleburne,Texas,United States,North America,MGS Age of Mythology: Gold Edition M310,Tailspin Toys,Games and Toys,Download Games,36.7,79.8,159.6,73.4,86.2
367028,1,02-01-2016 00:00,27-02-2021 00:00,607356,0,976,1,EUR,Female,Fanette Michaud,AURILLAC,Auvergne,France,Europe,A. Datum All in One Digital Camera M200 Pink,A. Datum,Cameras and camcorders,Digital Cameras,86.45,188,188,86.45,101.55
367028,2,02-01-2016 00:00,27-02-2021 00:00,607356,0,2017,3,EUR,Female,Fanette Michaud,AURILLAC,Auvergne,France,Europe,Fabrikam Microwave 0.9CuFt E0900 Blue,Fabrikam,Home Appliances,Microwaves,50.98,99.99,299.97,152.94,147.03
367029,1,02-01-2016 00:00,25-02-2021 00:00,1260533,66,1607,1,USD,Female,Laura Echevarria,Asheboro,North Carolina,United States,North America,SV DVD 12-Inch Player Portable M400 Silver,Southridge Video,"Music, Movies and Audio Books",Movie DVD,82.77,179.99,179.99,82.77,97.22
367029,2,02-01-2016 00:00,25-02-2021 00:00,1260533,66,1223,7,USD,Female,Laura Echevarria,Asheboro,North Carolina,United States,North America,Fabrikam Budget Moviemaker 2/3'' 17mm E100 Black,Fabrikam,Cameras and camcorders,Camcorders,234.52,460,3220,1641.64,1578.36
367030,1,02-01-2016 00:00,25-02-2021 00:00,1843882,51,2010,7,USD,Female,Gloria Stewart,Westland,Michigan,United States,North America,Fabrikam Microwave 1.0CuFt E1100 Black,Fabrikam,Home Appliances,Microwaves,71.37,139.99,979.93,499.59,480.34
367030,2,02-01-2016 00:00,25-02-2021 00:00,1843882,51,426,1,USD,Female,Gloria Stewart,Westland,Michigan,United States,North America,Adventure Works Desktop PC1.80 ED182 Black,Adventure Works,Computers,Desktops,254.86,499.9,499.9,254.86,245.04
367031,1,02-01-2016 00:00,24-02-2021 00:00,909014,0,120,3,GBP,Female,Tegan Macdonald,WESTON UNDER PENYARD,Hereford,United Kingdom,Europe,"Adventure Works 13 Color TV E25 Black""",Adventure Works,TV and Video,Televisions,61.17,119.99,359.97,183.51,176.46
367031,2,02-01-2016 00:00,24-02-2021 00:00,909014,0,382,2,GBP,Female,Tegan Macdonald,WESTON UNDER PENYARD,Hereford,United Kingdom,Europe,Adventure Works Laptop12 M1201 Red,Adventure Works,Computers,Laptops,195.24,382.95,765.9,390.48,375.42
367031,3,02-01-2016 00:00,24-02-2021 00:00,909014,0,1722,3,GBP,Female,Tegan Macdonald,WESTON UNDER PENYARD,Hereford,United Kingdom,Europe,MGS Zoo Tycoon 2: End range Species Expansion Pack E105,Tailspin Toys,Games and Toys,Download Games,28.55,56,168,85.65,82.35
367031,4,02-01-2016 00:00,24-02-2021 00:00,909014,0,132,1,GBP,Female,Tegan Macdonald,WESTON UNDER PENYARD,Hereford,United Kingdom,Europe,"Adventure Works 20 Analog CRT TV E45 Brown""",Adventure Works,TV and Video,Televisions,101.97,200,200,101.97,98.03
368000,1,03-01-2016 00:00,27-02-2021 00:00,892838,32,1440,1,EUR,Male,Ariën van Aggelen,Bussum,Noord-Holland,Netherlands,Europe,The Phone Company Touch Screen Phones - CRT M11 Grey,The Phone Company,Cell phones,Touch Screen Phones,86.91,189,189,86.91,102.09
368001,1,03-01-2016 00:00,25-02-2021 00:00,1670789,64,1598,3,USD,Male,David Hamlin,Salinas,California,United States,North America,SV DVD External DVD Burner M200 Grey,Southridge Video,"Music, Movies and Audio Books",Movie DVD,26.62,57.88,173.64,79.86,93.78
369000,1,04-01-2016 00:00,24-02-2021 00:00,1143828,37,2167,9,GBP,Male,Joel Miah,RYE HARBOUR,Rother,United Kingdom,Europe,Fabrikam Coffee Maker Auto 5C E090 Black,Fabrikam,Home Appliances,Coffee Machines,83.1,163,1467,747.9,719.1
369000,2,04-01-2016 00:00,24-02-2021 00:00,1143828,37,167,1,GBP,Male,Joel Miah,RYE HARBOUR,Rother,United Kingdom,Europe,SV 8xDVD E100 Black,Southridge Video,TV and Video,VCD & DVD,35.18,69,69,35.18,33.82
